ID,Prix,Quantite,Remise,CA_Brut,CA_Net,TVA_20pct
500,9.88,4,0.0,39.52,39.52,7.9
501,178.98,5,0.0,894.9,894.9,178.98
502,50.37,9,30.0,453.33,317.33,63.47
503,86.81,5,0.0,434.05,434.05,86.81
504,36.13,5,0.0,180.65,180.65,36.13
505,79.09,6,0.0,474.54,474.54,94.91
506,109.56,7,0.0,766.92,766.92,153.38
507,127.58,6,0.0,765.48,765.48,153.1
508,105.195,5,5.0,525.97,499.67,99.93
509,79.12,14,10.0,1107.68,996.91,199.38
510,135.68,11,25.0,1492.48,1119.36,223.87
511,109.16,8,30.0,873.28,611.3,122.26
512,47.82,13,5.0,621.66,590.58,118.12
513,161.98,2,25.0,323.96,242.97,48.59
514,66.36,7,30.0,464.52,325.16,65.03
515,56.65,9,25.0,509.85,382.39,76.48
516,118.79,3,0.0,356.37,356.37,71.27
517,172.92,3,10.0,518.76,466.88,93.38
518,80.03,8,20.0,640.24,512.19,102.44
519,7.24,11,5.0,79.64,75.66,15.13
520,71.33,3,5.0,213.99,203.29,40.66
521,153.58,2,5.0,307.16,291.8,58.36
522,103.99,6,20.0,623.94,499.15,99.83
523,184.87,10,0.0,1848.7,1848.7,369.74
524,75.78,13,0.0,985.14,985.14,197.03
525,115.63,5,20.0,578.15,462.52,92.5
526,30.04,9,20.0,270.36,216.29,43.26
527,87.51,9,5.0,787.59,748.21,149.64
528,82.8,6,20.0,496.8,397.44,79.49
529,53.34,0,0.0,0.0,0.0,0.0
531,181.56,2,5.0,363.12,344.96,68.99
532,46.78,15,25.0,701.7,526.28,105.26
533,158.0,4,0.0,632.0,632.0,126.4
534,87.6,12,0.0,1051.2,1051.2,210.24
535,131.01,0,0.0,0.0,0.0,0.0
536,42.09,7,15.0,294.63,250.44,50.09
537,185.04,14,0.0,2590.56,2590.56,518.11
538,199.86,2,5.0,399.72,379.73,75.95
539,99.7,7,0.0,697.9,697.9,139.58
540,197.14,13,5.0,2562.82,2434.68,486.94
541,191.68,9,15.0,1725.12,1466.35,293.27
542,62.86,10,0.0,628.6,628.6,125.72
543,16.15,9,20.0,145.35,116.28,23.26
544,192.35,2,0.0,384.7,384.7,76.94
545,173.05,15,25.0,2595.75,1946.81,389.36
546,125.78,10,10.0,1257.8,1132.02,226.4
547,44.83,4,0.0,179.32,179.32,35.86
548,63.5,13,0.0,825.5,825.5,165.1
549,199.7,2,20.0,399.4,319.52,63.9
550,186.99,15,5.0,2804.85,2664.61,532.92
551,167.58,10,30.0,1675.8,1173.06,234.61
552,135.23,15,0.0,2028.45,2028.45,405.69
553,178.49,3,25.0,535.47,401.6,80.32
554,71.86,14,15.0,1006.04,855.13,171.03
555,182.09,0,5.0,0.0,0.0,0.0
556,105.195,3,5.0,315.58,299.8,59.96
557,91.16,9,0.0,820.44,820.44,164.09
558,177.21,9,0.0,1594.89,1594.89,318.98
559,112.74,1,0.0,112.74,112.74,22.55
560,45.96,2,20.0,91.92,73.54,14.71
561,84.24,3,5.0,252.72,240.08,48.02
562,195.36,15,0.0,2930.4,2930.4,586.08
563,69.78,13,5.0,907.14,861.78,172.36
564,158.54,119,5.0,18866.26,17922.95,3584.59
565,184.1,14,5.0,2577.4,2448.53,489.71
566,133.71,5,5.0,668.55,635.12,127.02
567,104.33,14,0.0,1460.62,1460.62,292.12
568,194.23,5,0.0,971.15,971.15,194.23
569,72.41,7,20.0,506.87,405.5,81.1
570,180.4,1,0.0,180.4,180.4,36.08
571,162.27,12,5.0,1947.24,1849.88,369.98
572,18.64,6,30.0,111.84,78.29,15.66
573,145.35,5,10.0,726.75,654.08,130.82
574,62.65,7,10.0,438.55,394.7,78.94
576,45.99,10,15.0,459.9,390.92,78.18
577,136.75,13,0.0,1777.75,1777.75,355.55
578,60.34,10,5.0,603.4,573.23,114.65
579,48.8,1,0.0,48.8,48.8,9.76
580,124.2,8,30.0,993.6,695.52,139.1
581,145.08,7,30.0,1015.56,710.89,142.18
582,179.07,15,0.0,2686.05,2686.05,537.21
583,161.8,8,0.0,1294.4,1294.4,258.88
584,170.43,13,20.0,2215.59,1772.47,354.49
585,121.11,15,20.0,1816.65,1453.32,290.66
586,181.84,3,15.0,545.52,463.69,92.74
587,151.6,5,20.0,758.0,606.4,121.28
588,51.65,12,5.0,619.8,588.81,117.76
589,179.14,2,0.0,358.28,358.28,71.66
590,17.52,9,0.0,157.68,157.68,31.54
591,86.93,10,0.0,869.3,869.3,173.86
592,154.29,1,5.0,154.29,146.58,29.32
593,171.42,7,20.0,1199.94,959.95,191.99
594,180.07,5,0.0,900.35,900.35,180.07
595,135.43,12,15.0,1625.16,1381.39,276.28
596,196.24,15,25.0,2943.6,2207.7,441.54
597,21.37,14,0.0,299.18,299.18,59.84
598,68.83,6,10.0,412.98,371.68,74.34
599,190.48,14,0.0,2666.72,2666.72,533.34
600,15.16,4,30.0,60.64,42.45,8.49
601,105.195,8,0.0,841.56,841.56,168.31
602,51.52,2,5.0,103.04,97.89,19.58
603,54.97,10,0.0,549.7,549.7,109.94
604,36.93,10,0.0,369.3,369.3,73.86
605,137.08,7,5.0,959.56,911.58,182.32
606,139.67,2,5.0,279.34,265.37,53.07
607,122.08,10,10.0,1220.8,1098.72,219.74
608,134.0,0,0.0,0.0,0.0,0.0
609,165.35,285,15.0,47124.75,40056.04,8011.21
610,89.92,11,20.0,989.12,791.3,158.26
611,95.65,10,5.0,956.5,908.68,181.74
612,21.9,4,25.0,87.6,65.7,13.14
613,78.9,8,0.0,631.2,631.2,126.24
614,74.19,5,5.0,370.95,352.4,70.48
615,105.74,4,15.0,422.96,359.52,71.9
616,51.86,12,0.0,622.32,622.32,124.46
617,48.21,5,10.0,241.05,216.95,43.39
618,108.53,12,10.0,1302.36,1172.12,234.42
619,57.83,2,10.0,115.66,104.09,20.82
620,109.49,3,15.0,328.47,279.2,55.84
621,119.97,10,0.0,1199.7,1199.7,239.94
622,62.77,5,0.0,313.85,313.85,62.77
623,58.49,9,0.0,526.41,526.41,105.28
624,151.79,106,15.0,16089.74,13676.28,2735.26
625,71.44,5,15.0,357.2,303.62,60.72
626,17.74,10,0.0,177.4,177.4,35.48
627,163.17,2,0.0,326.34,326.34,65.27
628,86.15,10,20.0,861.5,689.2,137.84
629,182.16,10,5.0,1821.6,1730.52,346.1
630,16.74,2,5.0,33.48,31.81,6.36
631,56.61,2,0.0,113.22,113.22,22.64
632,84.66,8,5.0,677.28,643.42,128.68
633,60.13,2,5.0,120.26,114.25,22.85
634,126.89,15,0.0,1903.35,1903.35,380.67
635,131.29,14,0.0,1838.06,1838.06,367.61
636,64.98,10,15.0,649.8,552.33,110.47
637,139.29,5,15.0,696.45,591.98,118.4
638,121.62,12,5.0,1459.44,1386.47,277.29
